snp_close,nyse_close,djia_close,nikkei_close,hangseng_close,ftse_close,dax_close,aord_close
2098.120117,11112.169922,18067.230469,19623.839844,27406.179688,6932.799805,11471.410156,5672.100098
1413.199951,8233.910156,13092.160156,9050.219727,22110.330078,5867.600098,7362.850098,4482.299805
1856.619995,10433.870117,16322.05957,14695.030273,22064.529297,6614.600098,9586.19043,5375.799805
1140.199951,7280.069824,10787.049805,9368.349609,22357.169922,5547.600098,6228.02002,4635.899902
2106.959961,11143.450195,18037.269531,20132.900391,27932.849609,7027.200195,11866.370117,5811.799805
1303.890015,8152.209961,12301.549805,10046.19043,22540.689453,5855.600098,7251.680176,4611.600098
1361.209961,8114.419922,12964.69043,9462.019531,21477.720703,5927.200195,6907.180176,4367.200195
1724.52002,9886.879883,15675.94043,14504.360352,23116.449219,6557.799805,8635.05957,5229.399902
1307.869995,8190.129883,12436.120117,9935.120117,21939.199219,5846.0,7213.740234,4560.299805
1984.540039,10910.389648,16986.509766,15947.290039,24594.320312,6806.0,9650.129883,5531.299805
1123.829956,7140.509766,10661.419922,,,5546.100098,6183.709961,4679.0
1224.849976,7799.660156,11443.080078,9624.990234,24875.820312,5874.399902,6753.200195,4871.899902
1641.810059,9357.0,15237.589844,13513.200195,21614.089844,6399.5,8306.69043,
1651.349976,9420.55957,15001.990234,13395.379883,21969.289062,6452.5,8299.030273,5067.799805
2091.830078,10978.330078,17848.460938,20459.900391,27259.160156,6803.600098,11196.150391,5505.5
1861.76001,10122.730469,16116.240234,14737.379883,22899.939453,6194.899902,8581.900391,5243.299805
1198.380005,7418.069824,11443.610352,9298.879883,20945.140625,5246.0,6235.160156,4168.700195
1316.819946,7533.330078,12453.830078,8579.389648,18712.410156,5350.5,6338.939941,4080.199951
2125.060059,11196.69043,18231.019531,20263.410156,27991.830078,7030.700195,11814.009766,5667.200195
1650.810059,9398.629883,15317.230469,13006.280273,21224.880859,6373.200195,8228.509766,4793.600098
1342.359985,7919.350098,12758.150391,9636.629883,20805.25,5764.799805,6632.109863,4294.5
1354.689941,7756.919922,12823.389648,8751.30957,19517.849609,5621.299805,6391.129883,4175.799805
1649.339966,9514.860352,15214.25,14757.419922,22929.279297,6685.100098,8338.110352,5201.5
1198.72998,7640.080078,11202.549805,10021.389648,23604.710938,5731.799805,6842.549805,4716.700195
1884.52002,10583.30957,16531.609375,14790.990234,22447.539062,6651.600098,9602.709961,5393.899902
1830.369995,10295.769531,16468.990234,,22816.279297,6729.700195,9434.150391,5350.799805
2119.790039,11131.740234,18125.119141,20550.460938,27453.310547,7039.899902,11676.570312,5713.600098
1314.98999,7541.97998,12503.480469,8632.889648,18921.320312,5303.5,6330.040039,4123.399902
2128.199951,11226.900391,18297.880859,19889.269531,27590.25,6967.899902,11593.280273,5659.0
1240.589966,7854.220215,11475.540039,10315.769531,23430.189453,5890.200195,7026.399902,4849.899902
1837.630005,10281.530273,16153.389648,14312.030273,22297.410156,6662.600098,9661.400391,5365.899902
1277.040039,7291.22998,12117.570312,8439.25,18557.339844,5259.200195,6049.290039,4115.899902
1161.27002,7046.120117,11060.120117,8534.669922,19029.539062,5128.600098,5071.330078,4124.100098
1336.380005,8503.360352,12504.990234,9684.769531,24137.310547,6017.299805,7294.490234,4994.700195
1501.420044,8809.290039,13879.620117,11308.129883,22905.669922,6290.5,7582.569824,4997.600098
1270.829956,8016.060059,11951.969727,9447.209961,22507.080078,5772.5,7084.140137,
1976.800049,10748.049805,17070.220703,16309.639648,23228.210938,6645.600098,9421.910156,5268.600098
1079.290039,6909.97998,10268.469727,8926.019531,20622.830078,5365.399902,6082.899902,4525.799805
1654.170044,9438.69043,14921.5,13859.80957,22620.220703,6546.299805,8274.669922,5143.0
1844.119995,10352.780273,16178.660156,15050.599609,22316.199219,6829.5,9698.349609,5443.0
1104.23999,7029.669922,10373.160156,10197.830078,20466.740234,5341.899902,5614.509766,4665.0
2098.840088,10846.839844,17539.470703,20613.060547,24513.160156,6751.399902,11635.299805,5658.5
1108.550049,7066.509766,10461.769531,9238.169922,21256.390625,5500.600098,6213.77002,4599.700195
1417.069946,8313.299805,13154.129883,9526.389648,22190.169922,5913.399902,7516.799805,4554.899902
1191.130005,7583.620117,11017.660156,11101.179688,21864.259766,5743.0,6179.899902,5006.299805
2093.110107,11008.910156,17897.839844,20406.080078,27279.539062,6783.899902,11195.490234,5551.100098
1074.51001,6873.560059,10098.139648,10091.19043,20267.689453,5141.5,5499.390137,4587.799805
1693.160034,9629.570312,15450.009766,13866.0,22540.130859,6610.899902,8414.759766,5140.600098
1135.430054,6769.72998,10770.480469,,17667.830078,5065.799805,5195.560059,3977.5
1158.900024,7385.850098,10740.980469,10823.719727,21369.820312,5649.100098,5981.430176,4889.100098
2079.149902,11014.990234,17840.980469,19530.630859,27639.910156,6932.700195,11349.150391,5689.899902
1390.030029,8111.180176,12835.889648,9221.519531,21523.359375,5751.0,7183.709961,4389.700195
2116.389893,11101.820312,18287.630859,18825.880859,24886.439453,6939.600098,11409.360352,5925.299805
2080.340088,10828.320312,17775.910156,20375.589844,24974.310547,6431.200195,10675.780273,5554.5
1164.869995,7257.02002,10865.830078,,20326.539062,5340.899902,5957.450195,4691.0
1254.189941,7501.879883,12183.259766,8535.459961,18585.230469,5528.200195,5985.709961,4263.100098
1288.089966,7631.029785,12421.05957,8499.019531,19203.419922,5635.600098,6142.080078,4254.399902
2001.609985,10513.870117,17370.640625,16882.189453,23484.410156,6365.5,9468.660156,5345.200195
